,count,unique,top,freq,mean,std,min,25%,50%,75%,max
age,302.0,,,,54.41059602649007,9.040162526968423,29.0,48.0,55.5,61.0,77.0
sex,302.0,,,,0.6788079470198676,0.4677093784187858,0.0,0.0,1.0,1.0,1.0
cp,302.0,,,,3.165562913907285,0.953611520088047,1.0,3.0,3.0,4.0,4.0
trestbps,302.0,,,,131.6456953642384,17.612202184676732,94.0,120.0,130.0,140.0,200.0
chol,302.0,,,,246.73841059602648,51.85682866501748,126.0,211.0,241.5,275.0,564.0
fbs,302.0,,,,0.1456953642384106,0.35338610721954045,0.0,0.0,0.0,0.0,1.0
restecg,302.0,,,,0.9867549668874173,0.994915679272516,0.0,0.0,0.5,2.0,2.0
thalach,302.0,,,,149.60596026490066,22.91295889420335,71.0,133.25,153.0,166.0,202.0
exang,302.0,,,,0.32781456953642385,0.47019596400976893,0.0,0.0,0.0,1.0,1.0
oldpeak,302.0,,,,1.035430463576159,1.1607233596942839,0.0,0.0,0.8,1.6,6.2
slope,302.0,,,,1.596026490066225,0.611938892862899,1.0,1.0,2.0,2.0,3.0
ca,302,5,0.0,175,,,,,,,
thal,302,4,3.0,166,,,,,,,
target,302.0,,,,0.9403973509933775,1.229384353283903,0.0,0.0,0.0,2.0,4.0
